seq_id	start	end	align_to
GGBKTAO02BPWRP	1	21	primer
GGBKTAO02BNJFM	1	21	primer
GGBKTAO02BQ731	1	21	primer
GGBKTAO02BNF8R	1	21	primer
GGBKTAO02BNF8R	317	336	adaptor
GGBKTAO02BQSGH	1	21	primer
GGBKTAO02BRKUD	1	21	primer
GGBKTAO02BVSIM	1	21	primer
GGBKTAO02BWBHE	1	21	primer
GGBKTAO02BM9ZJ	1	21	primer
GGBKTAO02B0MBS	1	21	primer
GGBKTAO02BWXNW	1	21	primer
GGBKTAO02BVVQY	1	21	primer
GGBKTAO02BPQD2	1	21	primer
GGBKTAO02B08G8	1	21	primer
GGBKTAO02BORMQ	1	21	primer
GGBKTAO02BT09J	1	21	primer
GGBKTAO02BLVEU	1	21	primer
GGBKTAO02BXS7F	1	21	primer
GGBKTAO02BT4H5	1	21	primer
GGBKTAO02BPALY	1	21	primer
GGBKTAO02BNC65	1	21	primer
GGBKTAO02BPGXL	1	21	primer
GGBKTAO02BPGXL	316	335	adaptor
GGBKTAO02BM9XK	1	21	primer
GGBKTAO02BU6FP	1	21	primer
GGBKTAO02BSGGQ	1	21	primer
GGBKTAO02BW0RB	1	21	primer
GGBKTAO02BP9CQ	1	21	primer
GGBKTAO02BQCL9	1	21	primer
GGBKTAO02BRHMB	1	21	primer
GGBKTAO02BPM9G	1	21	primer
GGBKTAO02BTUW4	1	21	primer
GGBKTAO02BP233	1	21	primer
GGBKTAO02BUTQA	1	21	primer
GGBKTAO02BO050	1	21	primer
GGBKTAO02BO050	317	336	adaptor
GGBKTAO02BXMXV	1	21	primer
GGBKTAO02B1BJ3	1	21	primer
GGBKTAO02BOX2R	1	21	primer
GGBKTAO02BZ3DL	1	21	primer
GGBKTAO02BPQIZ	1	21	primer
GGBKTAO02BLIQ5	1	21	primer
GGBKTAO02BM0HQ	1	21	primer
GGBKTAO02BL4SL	1	21	primer
GGBKTAO02BOE2P	1	21	primer
GGBKTAO02BL4VS	1	21	primer
GGBKTAO02BUDX1	1	21	primer
GGBKTAO02BVCRR	1	21	primer
GGBKTAO02BS2JR	1	21	primer
GGBKTAO02BLYL6	1	21	primer
GGBKTAO02BSJMX	1	21	primer
GGBKTAO02BZ3EL	1	21	primer
GGBKTAO02BZ3EL	175	194	adaptor
GGBKTAO02BUDXD	1	21	primer
GGBKTAO02BTRU5	1	21	primer
GGBKTAO02BU6DL	1	21	primer
GGBKTAO02BN2DH	1	21	primer
GGBKTAO02BM0GU	1	21	primer
GGBKTAO02BSS2Y	1	21	primer
GGBKTAO02BV45D	1	21	primer
GGBKTAO02BWEKY	1	21	primer
GGBKTAO02BQVKM	1	19	primer
GGBKTAO02BXS6R	1	21	primer
GGBKTAO02BSZFQ	1	21	primer
GGBKTAO02BSMQT	1	21	primer
GGBKTAO02B0PKI	1	21	primer
GGBKTAO02B0YWY	1	21	primer
GGBKTAO02BMED5	1	21	primer
GGBKTAO02BXMUQ	1	21	primer
GGBKTAO02BLFJ1	1	21	primer
GGBKTAO02BORQS	1	21	primer
GGBKTAO02BORQS	300	319	adaptor
GGBKTAO02BQSBX	1	21	primer
GGBKTAO02BO061	1	21	primer
GGBKTAO02BU9KR	1	21	primer
GGBKTAO02BWBGG	1	21	primer
GGBKTAO02B0CU6	1	21	primer
GGBKTAO02BWHQL	2	20	primer
GGBKTAO02BZAWZ	1	21	primer
GGBKTAO02BQO5J	1	21	primer
GGBKTAO02BRUC2	1	21	primer
GGBKTAO02BW96W	1	21	primer
GGBKTAO02BT7LQ	1	21	primer
GGBKTAO02BPZU1	1	21	primer
GGBKTAO02BPTNM	1	21	primer
GGBKTAO02BN8O9	1	21	primer
GGBKTAO02BSSZ2	1	21	primer
GGBKTAO02BYB89	1	21	primer
GGBKTAO02BUG2B	1	21	primer
GGBKTAO02BLR7D	1	21	primer
GGBKTAO02BXAAG	1	21	primer
GGBKTAO02BL1NB	1	20	primer
GGBKTAO02B1BML	1	21	primer
GGBKTAO02BY4NI	1	21	primer
GGBKTAO02BYFDW	1	21	primer
GGBKTAO02BYU2C	1	21	primer
GGBKTAO02B05CZ	1	21	primer
GGBKTAO02BU29Z	1	21	primer
GGBKTAO02BT4JY	1	21	primer
GGBKTAO02BMKQF	1	21	primer
GGBKTAO02BK506	1	21	primer
GGBKTAO02BO06U	1	21	primer
GGBKTAO02BNPRA	1	21	primer
GGBKTAO02BLVEK	1	21	primer
GGBKTAO02BY7SR	1	21	primer
GGBKTAO02BP57K	1	21	primer
GGBKTAO02BOUTE	1	21	primer
GGBKTAO02BQIVV	1	21	primer
GGBKTAO02BLO4Q	1	21	primer
GGBKTAO02BQ4YW	1	21	primer
GGBKTAO02BVVQV	1	21	primer
GGBKTAO02BP58N	1	21	primer
GGBKTAO02BU9KN	1	21	primer
GGBKTAO02BRKR8	1	21	primer
GGBKTAO02B1XTE	1	21	primer
GGBKTAO02B1XTE	300	319	adaptor
GGBKTAO02BPZX9	1	21	primer
GGBKTAO02BVL9S	1	21	primer
GGBKTAO02BUWUT	1	21	primer
GGBKTAO02BPQFN	1	21	primer
GGBKTAO02BNF8G	1	21	primer
GGBKTAO02BNF8G	303	322	adaptor
GGBKTAO02BT4GW	1	21	primer
GGBKTAO02BLO20	1	21	primer
GGBKTAO02BMT77	1	21	primer
GGBKTAO02BPGZ3	1	21	primer
GGBKTAO02BR6Z6	1	21	primer
GGBKTAO02BTRR9	1	21	primer
GGBKTAO02BLCGU	1	21	primer
GGBKTAO02BLFM8	1	21	primer
GGBKTAO02BL1OZ	1	21	primer
GGBKTAO02BQLZ9	1	21	primer
GGBKTAO02BV45U	1	21	primer
GGBKTAO02BV45U	159	178	adaptor
GGBKTAO02BOOIE	1	21	primer
GGBKTAO02BOUSK	1	21	primer
GGBKTAO02BNSZY	1	21	primer
GGBKTAO02BNSZY	317	336	adaptor
GGBKTAO02BNJDD	1	21	primer
GGBKTAO02B0CSZ	1	21	primer
GGBKTAO02B1K1O	1	21	primer
GGBKTAO02BV78Z	1	21	primer
GGBKTAO02BPWTV	1	21	primer
GGBKTAO02BYU3F	1	21	primer
GGBKTAO02BSDAL	1	21	primer
GGBKTAO02B1BLX	1	21	primer
GGBKTAO02BUWVL	1	21	primer
GGBKTAO02BZZ7N	1	21	primer
GGBKTAO02BUKCF	1	21	primer
GGBKTAO02BP9HI	1	21	primer
GGBKTAO02BL4WV	1	21	primer
GGBKTAO02BM0G4	1	21	primer
GGBKTAO02BXJOW	1	21	primer
GGBKTAO02BSJLC	1	21	primer
GGBKTAO02BQYM4	1	21	primer
GGBKTAO02BSMN6	1	21	primer
GGBKTAO02BN2ER	1	21	primer
GGBKTAO02BZD4O	1	21	primer
GGBKTAO02BNV3E	1	21	primer
GGBKTAO02BM9YG	1	21	primer
GGBKTAO02BMW9K	1	21	primer
GGBKTAO02BXJOE	1	21	primer
GGBKTAO02BMW98	1	21	primer
GGBKTAO02BOE3A	1	21	primer
GGBKTAO02BYYB3	1	21	primer
GGBKTAO02BM6VD	1	21	primer
GGBKTAO02BR94C	1	21	primer
GGBKTAO02BN8SO	1	21	primer
GGBKTAO02BLVB4	1	21	primer
GGBKTAO02BW63Q	1	21	primer
GGBKTAO02BQVLN	1	21	primer
GGBKTAO02BLR93	1	21	primer
GGBKTAO02BM6UR	1	21	primer
GGBKTAO02BVVNB	1	21	primer
GGBKTAO02BRN0Z	1	21	primer
GGBKTAO02BRBDV	1	21	primer
GGBKTAO02BNMNK	1	21	primer
GGBKTAO02BXJPG	1	21	primer
GGBKTAO02BL1PA	1	21	primer
GGBKTAO02BZZ7R	1	21	primer
GGBKTAO02BVFVW	1	21	primer
GGBKTAO02BYYDK	1	21	primer
GGBKTAO02BSZFM	1	21	primer
GGBKTAO02BXP3C	1	21	primer
GGBKTAO02BUNH0	1	21	primer
GGBKTAO02BPZWB	1	21	primer
GGBKTAO02BR902	1	21	primer
GGBKTAO02BMQZM	1	21	primer
GGBKTAO02BUDYE	1	21	primer
GGBKTAO02BNGBE	1	21	primer
GGBKTAO02BUTS5	1	21	primer
GGBKTAO02BS5N4	1	21	primer
GGBKTAO02BOH4H	1	21	primer
GGBKTAO02BWUIV	1	21	primer
GGBKTAO02BWBGT	2	21	primer
GGBKTAO02BWBGT	301	320	adaptor
GGBKTAO02BM6QB	1	21	primer
GGBKTAO02BUG5J	1	21	primer
GGBKTAO02BNJHW	1	21	primer
GGBKTAO02BTLJ5	1	21	primer
GGBKTAO02BPZX2	1	21	primer
GGBKTAO02BT086	1	21	primer
GGBKTAO02BXMTF	1	21	primer
GGBKTAO02BORO5	1	21	primer
GGBKTAO02BZAVK	1	21	primer
GGBKTAO02BNPQT	1	21	primer
GGBKTAO02B0MAO	1	21	primer
GGBKTAO02BPM74	1	21	primer
GGBKTAO02BUG6L	1	21	primer
GGBKTAO02B0PG1	1	21	primer
GGBKTAO02BZAWD	1	21	primer
GGBKTAO02BRQ7X	1	21	primer
GGBKTAO02BPQEB	1	21	primer
GGBKTAO02BW96L	1	21	primer
GGBKTAO02BSJIC	1	21	primer
GGBKTAO02BWBGX	1	21	primer
GGBKTAO02BM91B	1	21	primer
GGBKTAO02BOOHL	1	21	primer
GGBKTAO02BXMWW	1	21	primer
GGBKTAO02BV44W	1	21	primer
GGBKTAO02BX82C	1	21	primer
GGBKTAO02BQSFT	1	21	primer
GGBKTAO02BV8AI	1	21	primer
GGBKTAO02BNY63	1	21	primer
GGBKTAO02BXZGR	1	21	primer
GGBKTAO02BOXXY	1	21	primer
GGBKTAO02BNPQP	1	21	primer
GGBKTAO02BU29R	1	21	primer
GGBKTAO02BRQ30	1	21	primer
GGBKTAO02BN2E2	1	21	primer
GGBKTAO02BZ9NG	1	21	primer
GGBKTAO02BRA9Z	1	21	primer
GGBKTAO02BLR84	1	21	primer
GGBKTAO02BXS5F	1	21	primer
GGBKTAO02BTU0G	1	21	primer
GGBKTAO02BUWUK	1	21	primer
GGBKTAO02BLR8F	1	21	primer
GGBKTAO02BNSVF	1	21	primer
GGBKTAO02BQO6V	1	21	primer
GGBKTAO02BT7KX	1	21	primer
GGBKTAO02BSPZA	1	21	primer
GGBKTAO02BZTWC	1	21	primer
GGBKTAO02BPTMR	1	21	primer
GGBKTAO02BYIGO	1	21	primer
GGBKTAO02BQ41C	1	21	primer
GGBKTAO02BMHJM	1	21	primer
GGBKTAO02BPAL1	1	21	primer
GGBKTAO02BOOI0	1	21	primer
GGBKTAO02BR0K8	1	21	primer
GGBKTAO02BRBCW	1	21	primer
GGBKTAO02BLO1S	1	21	primer
GGBKTAO02BYU44	1	21	primer
GGBKTAO02BTIBP	1	21	primer
GGBKTAO02BRBBI	1	21	primer
GGBKTAO02BQ4X0	1	21	primer
GGBKTAO02BQ4X0	317	336	adaptor
GGBKTAO02BRBBB	1	21	primer
GGBKTAO02BRBBB	316	335	adaptor
GGBKTAO02BWHTX	1	21	primer
GGBKTAO02BUKCN	1	21	primer
GGBKTAO02BLVBX	1	21	primer
GGBKTAO02BOH7I	1	21	primer
GGBKTAO02BOH7I	257	276	adaptor
GGBKTAO02BNPO1	1	21	primer
GGBKTAO02BTRTS	1	21	primer
GGBKTAO02BN5KA	1	21	primer
GGBKTAO02BUQL1	1	21	primer
GGBKTAO02BUNDU	1	21	primer
GGBKTAO02B1EQO	1	21	primer
GGBKTAO02BLIRL	1	21	primer
GGBKTAO02BYX9H	1	21	primer
GGBKTAO02B0FZ8	1	21	primer
GGBKTAO02B08HD	1	20	primer
GGBKTAO02B08HD	149	168	adaptor
GGBKTAO02BU6G3	1	21	primer
GGBKTAO02BORNI	1	21	primer
GGBKTAO02BRQ68	1	21	primer
GGBKTAO02B0SMF	1	21	primer
GGBKTAO02BSZCW	1	21	primer
GGBKTAO02BMNR5	1	21	primer
GGBKTAO02BPNCD	1	21	primer
GGBKTAO02BNV4Y	1	21	primer
GGBKTAO02BQVJU	1	21	primer
GGBKTAO02BWK1N	1	21	primer
GGBKTAO02BPWPP	1	21	primer
GGBKTAO02BW3X0	1	21	primer
GGBKTAO02BXGI8	1	21	primer
GGBKTAO02BUWY3	1	21	primer
GGBKTAO02BY7RB	1	21	primer
GGBKTAO02BTRRY	1	21	primer
GGBKTAO02BTX2Y	1	21	primer
GGBKTAO02BSV8K	1	21	primer
GGBKTAO02B131J	1	21	primer
GGBKTAO02BWRBT	1	21	primer
GGBKTAO02BPTJS	1	21	primer
GGBKTAO02B0CWZ	1	21	primer
GGBKTAO02B0CWZ	317	336	adaptor
GGBKTAO02BQ1V9	1	21	primer
GGBKTAO02B1HZ2	1	21	primer
GGBKTAO02B1EQK	1	21	primer
GGBKTAO02BMHLC	1	21	primer
GGBKTAO02BXMTN	1	21	primer
GGBKTAO02BO7E8	1	21	primer
GGBKTAO02BMEE0	1	21	primer
GGBKTAO02BMEE0	151	170	adaptor
GGBKTAO02BLCC5	1	21	primer
GGBKTAO02BV48A	1	21	primer
GGBKTAO02BP9FJ	1	21	primer
GGBKTAO02BW974	1	21	primer
GGBKTAO02BZWZX	1	21	primer
GGBKTAO02BMT59	1	21	primer
GGBKTAO02BL4W6	1	21	primer
GGBKTAO02BYLPT	1	21	primer
GGBKTAO02B0MCB	1	21	primer
GGBKTAO02B0MCB	151	170	adaptor
GGBKTAO02BOX0E	1	21	primer
GGBKTAO02BMECN	1	21	primer
GGBKTAO02BMECN	295	314	adaptor
GGBKTAO02BREF0	1	21	primer
GGBKTAO02BMKQQ	1	21	primer
GGBKTAO02BYRYO	1	21	primer
GGBKTAO02BPDUD	1	21	primer
GGBKTAO02B1UJX	1	21	primer
GGBKTAO02BQFP1	1	21	primer
GGBKTAO02BQFP1	317	336	adaptor
GGBKTAO02BO4BY	1	21	primer
GGBKTAO02BZAZY	1	21	primer
GGBKTAO02BR6X8	1	21	primer
GGBKTAO02BW0O7	1	21	primer
GGBKTAO02BT09T	1	21	primer
GGBKTAO02BWEPS	1	21	primer
GGBKTAO02BZNLX	1	21	primer
GGBKTAO02BLIOH	1	21	primer
GGBKTAO02BOURW	1	21	primer
GGBKTAO02BXZJJ	1	21	primer
GGBKTAO02BW3XW	1	21	primer
GGBKTAO02BNC2F	1	21	primer
GGBKTAO02BNY8B	1	21	primer
GGBKTAO02BV8DB	1	21	primer
GGBKTAO02BX2MW	1	21	primer
GGBKTAO02BVI3F	1	21	primer
GGBKTAO02BLO4Y	1	21	primer
GGBKTAO02BNY88	1	21	primer
GGBKTAO02BTLH0	1	21	primer
GGBKTAO02BWN20	1	21	primer
GGBKTAO02B1REB	1	21	primer
GGBKTAO02BWUGZ	1	21	primer
GGBKTAO02BPAKP	1	21	primer
GGBKTAO02BQ739	1	21	primer
GGBKTAO02BQCJG	1	21	primer
GGBKTAO02BV46A	1	21	primer
GGBKTAO02BZNK7	1	21	primer
GGBKTAO02BW3YD	1	21	primer
GGBKTAO02BQVGT	1	21	primer
GGBKTAO02BZ9RP	1	21	primer
GGBKTAO02BLIPD	1	21	primer
GGBKTAO02BORPP	1	21	primer
GGBKTAO02B0PKY	1	21	primer
GGBKTAO02B0PKY	251	270	adaptor
GGBKTAO02BWUIK	1	21	primer
GGBKTAO02BW644	1	21	primer
GGBKTAO02BUTTX	1	21	primer
GGBKTAO02BLCFK	1	21	primer
GGBKTAO02BSPWN	1	21	primer
GGBKTAO02BZ3A8	1	21	primer
GGBKTAO02BPJ58	1	21	primer
GGBKTAO02BSV8Z	1	21	primer
GGBKTAO02BQYNB	1	21	primer
GGBKTAO02BORPC	1	21	primer
GGBKTAO02BO4AU	1	21	primer
GGBKTAO02BPDQW	1	21	primer
GGBKTAO02BPZW5	1	21	primer
GGBKTAO02BN5J3	1	21	primer
GGBKTAO02BR60I	1	21	primer
GGBKTAO02BQ4XW	1	21	primer
GGBKTAO02BX5XE	1	21	primer
GGBKTAO02BLR53	1	21	primer
GGBKTAO02BOH49	1	21	primer
GGBKTAO02BVSF7	1	21	primer
GGBKTAO02BW98P	1	21	primer
GGBKTAO02BWHTC	1	21	primer
GGBKTAO02BMXCO	1	21	primer
GGBKTAO02BO7JZ	1	21	primer
GGBKTAO02BQSE1	1	21	primer
GGBKTAO02B013K	1	21	primer
GGBKTAO02BREKL	1	21	primer
GGBKTAO02BVPFM	1	21	primer
GGBKTAO02BOROF	1	21	primer
GGBKTAO02BNV05	1	21	primer
GGBKTAO02BSS25	1	21	primer
GGBKTAO02BTLI2	1	21	primer
GGBKTAO02BYB5P	1	21	primer
GGBKTAO02BVYVA	1	21	primer
GGBKTAO02BVFYH	1	21	primer
GGBKTAO02BS5PT	1	21	primer
GGBKTAO02BTX3C	1	21	primer
GGBKTAO02BWELI	1	21	primer
GGBKTAO02B0FYN	1	21	primer
GGBKTAO02BOBU3	1	21	primer
GGBKTAO02BL703	1	21	primer
GGBKTAO02BNGAQ	1	21	primer
GGBKTAO02BWKXL	1	21	primer
GGBKTAO02BZAWP	1	21	primer
GGBKTAO02BNMLG	1	21	primer
GGBKTAO02BXDFY	1	21	primer
GGBKTAO02B0PKR	1	21	primer
GGBKTAO02BLO2H	1	21	primer
GGBKTAO02BLFJ5	1	21	primer
GGBKTAO02BQVJI	1	21	primer
GGBKTAO02BPJ51	1	21	primer
GGBKTAO02BLYIQ	1	21	primer
GGBKTAO02BL1PV	1	21	primer
GGBKTAO02B1XOQ	1	21	primer
GGBKTAO02B05BI	1	21	primer
GGBKTAO02BQ4YJ	1	21	primer
GGBKTAO02BZ0AS	1	21	primer
GGBKTAO02BPTNQ	1	21	primer
GGBKTAO02BTRT2	1	21	primer
GGBKTAO02BZ3E6	1	21	primer
GGBKTAO02BOEY7	1	21	primer
GGBKTAO02BVFSZ	1	21	primer
GGBKTAO02BU6D5	1	21	primer
GGBKTAO02B1RFJ	1	21	primer
GGBKTAO02BTOP1	1	21	primer
GGBKTAO02BPM9M	1	21	primer
GGBKTAO02BUWXH	1	21	primer
GGBKTAO02BUQMP	1	21	primer
GGBKTAO02BN5HF	1	21	primer
GGBKTAO02BYU2W	1	21	primer
GGBKTAO02BR92V	1	21	primer
GGBKTAO02BR92V	316	335	adaptor
GGBKTAO02BS2JZ	1	21	primer
GGBKTAO02B1N7T	1	21	primer
GGBKTAO02BL4VP	1	21	primer
GGBKTAO02BX8ZC	1	21	primer
GGBKTAO02BQ42K	1	21	primer
GGBKTAO02BT7NB	1	21	primer
GGBKTAO02BLLWZ	1	21	primer
GGBKTAO02BVSJQ	1	21	primer
GGBKTAO02BNGCD	1	21	primer
GGBKTAO02BO4BA	1	21	primer
GGBKTAO02BOUTT	1	21	primer
GGBKTAO02BY1FG	1	21	primer
GGBKTAO02BV79Y	1	21	primer
GGBKTAO02BXJPQ	1	21	primer
GGBKTAO02BMKOQ	1	21	primer
GGBKTAO02BVL7V	1	21	primer
GGBKTAO02BP6AZ	1	21	primer
GGBKTAO02BQVLR	1	21	primer
GGBKTAO02B0VRW	1	21	primer
GGBKTAO02BY7Q4	1	21	primer
GGBKTAO02BXZIF	1	21	primer
GGBKTAO02BNPSB	1	21	primer
GGBKTAO02BNPSB	301	320	adaptor
GGBKTAO02BPTJZ	1	21	primer
GGBKTAO02BS2MK	1	21	primer
GGBKTAO02BTX67	1	21	primer
GGBKTAO02BSZET	1	21	primer
GGBKTAO02BYRXT	1	21	primer
GGBKTAO02BWHVP	1	21	primer
GGBKTAO02BNF7A	1	21	primer
GGBKTAO02BUNHL	1	21	primer
GGBKTAO02BPM9P	1	21	primer
GGBKTAO02BM6P7	1	21	primer
GGBKTAO02BUG6P	1	21	primer
GGBKTAO02BN5JV	1	21	primer
GGBKTAO02BL4T4	1	21	primer
GGBKTAO02BLVGN	1	21	primer
GGBKTAO02B1XS0	1	21	primer
GGBKTAO02BYOWA	1	21	primer
GGBKTAO02BM6RN	1	21	primer
GGBKTAO02BQIWA	1	21	primer
GGBKTAO02BYU7K	1	21	primer
GGBKTAO02BX2QG	1	21	primer
GGBKTAO02BLYKQ	1	21	primer
GGBKTAO02BPDT0	1	21	primer
GGBKTAO02BQCJN	1	21	primer
GGBKTAO02BZKH0	1	21	primer
GGBKTAO02BY1EZ	1	21	primer
GGBKTAO02BVIZS	1	21	primer
GGBKTAO02BSZEP	1	21	primer
GGBKTAO02BZ6G8	1	21	primer
GGBKTAO02BOH8F	1	21	primer
GGBKTAO02BMEB6	1	21	primer
GGBKTAO02BQCH3	1	21	primer
GGBKTAO02BV1ZJ	1	21	primer
GGBKTAO02BU6GS	1	21	primer
GGBKTAO02BLIQC	1	21	primer
GGBKTAO02BTBYS	1	21	primer
GGBKTAO02BRQ5N	1	21	primer
GGBKTAO02BR0J2	1	21	primer
GGBKTAO02BLLUZ	1	21	primer
GGBKTAO02BZKFR	1	21	primer
GGBKTAO02BO065	1	21	primer
GGBKTAO02BNJDJ	1	21	primer
GGBKTAO02BTUZM	1	21	primer
GGBKTAO02BWUES	1	21	primer
GGBKTAO02BT4G0	1	21	primer
GGBKTAO02B1EVD	1	21	primer
